"year","estimate","ci_lo","ci_hi","is_thin"
2000,-1.10821120663027,-2.32631483650436,0.109892423243808,TRUE
2001,-1.8941994218154,-3.53544771694869,-0.252951126682115,TRUE
2002,-0.44047878025225,-1.15414523055203,0.273187670047527,TRUE
2003,-0.145151866742546,-0.439815760073119,0.149512026588028,FALSE
2004,-0.33899178842701,-0.735566298450065,0.0575827215960447,FALSE
2005,-0.0985809892133384,-0.351390652388021,0.154228673961344,FALSE
2006,NA,NA,NA,FALSE
2007,-0.385649515471811,-0.567287523625718,-0.204011507317904,FALSE
2008,-0.249539497046069,-0.465159362454789,-0.0339196316373488,FALSE
2009,-0.448917187365771,-0.878553707713126,-0.0192806670184158,FALSE
2010,-0.0997801481232941,-0.315622356757199,0.116062060510611,FALSE
2011,-0.321019275861835,-0.553260871440386,-0.0887776802832832,FALSE
2012,-0.514429464222629,-0.765678981308546,-0.263179947136712,FALSE
2013,-0.406246546066647,-0.633133897848905,-0.17935919428439,FALSE
2014,-0.342599097049287,-0.586142895688784,-0.0990552984097894,FALSE
2015,-0.587537243424587,-0.862712525532595,-0.312361961316578,FALSE
2016,-0.368300909621545,-0.661469567745659,-0.0751322514974314,FALSE
2017,0.0385087049076394,-0.239264869771011,0.316282279586289,FALSE
2018,-0.611060872969598,-0.884877834345215,-0.337243911593982,FALSE
2019,-0.701515269108968,-0.985293109651048,-0.417737428566889,FALSE
2020,-0.731096134827061,-1.00484590101422,-0.4573463686399,FALSE
2021,-0.570852816157057,-0.823792828358846,-0.317912803955269,FALSE
2022,-0.64448504731156,-0.918442681439265,-0.370527413183855,FALSE
